SalesOrderID,OrderDateID,DueDateID,ShipDateID,CustomerID,ShipToAddressID,SubTotal,TaxAmt,Freight,OnlineOrderFlag
43659,20110531,20110612,20110607,29825,985,20565.6206,1971.5149,616.0984,False
43660,20110531,20110612,20110607,29672,921,1294.2529,124.2483,38.8276,False
43661,20110531,20110612,20110607,29734,517,32726.4786,3153.7696,985.553,False
43662,20110531,20110612,20110607,29994,482,28832.5289,2775.1646,867.2389,False
43663,20110531,20110612,20110607,29565,1073,419.4589,40.2681,12.5838,False
43664,20110531,20110612,20110607,29898,876,24432.608799999998,2344.9921,732.81,False
43665,20110531,20110612,20110607,29580,849,14352.7713,1375.9427,429.9821,False
43666,20110531,20110612,20110607,30052,1074,5056.4896,486.3747,151.9921,False
43667,20110531,20110612,20110607,29974,629,6107.081999999999,586.1203,183.1626,False
43668,20110531,20110612,20110607,29614,529,35944.1562,3461.7654,1081.8017,False
43669,20110531,20110612,20110607,29747,895,714.7043,70.5175,22.0367,False
43670,20110531,20110612,20110607,29566,810,6122.081999999999,587.5603,183.6126,False
43671,20110531,20110612,20110607,29890,855,8128.787600000001,780.8136,244.0042,False
43672,20110531,20110612,20110607,30067,464,6124.182,587.6023,183.6257,False
43673,20110531,20110612,20110607,29844,821,3746.2015,357.9614,111.8629,False
43674,20110531,20110612,20110607,29596,458,2624.382,251.9407,78.7315,False
43675,20110531,20110612,20110607,29827,631,5716.3102,546.8759,170.8987,False
43681,20110531,20110612,20110607,29661,955,0.0,1323.0668,413.4584,False
43682,20110531,20110612,20110607,29759,808,3875.7229,371.8002,116.1876,False
43683,20110531,20110612,20110607,29497,889,42813.4333,4107.1489,1283.484,False
43684,20110531,20110612,20110607,29912,971,5596.4705,537.2612,167.8941,False
43685,20110531,20110612,20110607,30084,958,2736.5678,263.201,82.2503,False
43686,20110531,20110612,20110607,29606,871,3463.2998000000002,332.4768,103.899,False
43687,20110531,20110612,20110607,29610,783,1258.3767,120.8042,37.7513,False
43688,20110531,20110612,20110607,29718,771,12718.0844,1222.8838,382.1512,False
43689,20110531,20110612,20110607,29646,578,33997.3702,3271.4942,1022.3419,False
43690,20110531,20110612,20110607,29533,801,1297.5901000000001,124.2027,38.8133,False
43691,20110531,20110612,20110607,29570,592,874.794,83.9802,26.2438,False
43692,20110531,20110612,20110607,29992,1024,38510.8973,3696.3979,1155.1244,False
43693,20110531,20110612,20110607,29491,807,20541.4072,1969.5564,615.4864,False
43694,20110531,20110612,20110607,29549,943,20645.634,1978.3257,618.2268,False
43695,20110531,20110612,20110607,29958,911,39373.780999999995,3787.4632,1183.5823,False
43696,20110531,20110612,20110607,29849,977,419.4589,40.2681,12.5838,False
43697,20110531,20110612,20110607,21768,23148,3578.27,286.2616,89.4568,True
43698,20110531,20110612,20110607,28389,24593,3399.99,271.9992,84.9998,True
43699,20110531,20110612,20110607,25863,19613,3399.99,271.9992,84.9998,True
43700,20110531,20110612,20110607,14501,20278,699.0982,55.9279,17.4775,True
43701,20110531,20110612,20110607,11003,20425,3399.99,271.9992,84.9998,True
43702,20110601,20110613,20110608,27645,22584,3578.27,286.2616,89.4568,True
43703,20110601,20110613,20110608,16624,23967,3578.27,286.2616,89.4568,True
43704,20110601,20110613,20110608,11005,16025,3374.99,269.9992,84.3748,True
43705,20110601,20110613,20110608,11011,27345,3399.99,271.9992,84.9998,True
43706,20110602,20110614,20110609,27621,13264,3578.27,286.2616,89.4568,True
43707,20110602,20110614,20110609,27616,20923,3578.27,286.2616,89.4568,True
43708,20110602,20110614,20110609,20042,18427,699.0982,55.9279,17.4775,True
43709,20110602,20110614,20110609,16351,13951,3578.27,286.2616,89.4568,True
43710,20110602,20110614,20110609,16517,25446,3578.27,286.2616,89.4568,True
43711,20110603,20110615,20110610,27606,18404,3578.27,286.2616,89.4568,True
43712,20110603,20110615,20110610,13513,21867,3578.27,286.2616,89.4568,True
43713,20110604,20110616,20110611,27601,11855,3578.27,286.2616,89.4568,True
43714,20110604,20110616,20110611,13591,15169,3578.27,286.2616,89.4568,True
43715,20110604,20110616,20110611,16483,28213,3578.27,286.2616,89.4568,True
43716,20110604,20110616,20110611,16529,23557,3578.27,286.2616,89.4568,True
